2026-07-14 16:44:14,439 INFO [test_login_params_allure.py(test_login_params:53)] - 登录成功: {'success': True, 'code': 10000, 'message': '操作成功！', 'data': 'd2b7d1ea-31be-4af6-b01d-e828ad14bc1e'}
2026-07-14 16:44:14,671 INFO [test_login_params_allure.py(test_login_params:53)] - 手机号未注册: {'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-07-14 16:44:15,003 INFO [test_login_params_allure.py(test_login_params:53)] - 密码错误: {'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-07-14 16:44:15,249 INFO [test_login_params_allure.py(test_login_params:53)] - 手机号为空: {'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-07-14 16:44:15,499 INFO [test_login_params_allure.py(test_login_params:53)] - 手机号含有特殊字符: {'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-07-14 16:44:15,768 INFO [test_login_params_allure.py(test_login_params:53)] - 10位手机号: {'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-07-14 16:44:16,021 INFO [test_login_params_allure.py(test_login_params:53)] - 12位手机号: {'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-07-14 16:44:16,305 INFO [test_login_params_allure.py(test_login_params:53)] - 密码为空: {'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-07-14 16:44:16,599 INFO [test_login_params_allure.py(test_login_params:53)] - 密码含有特殊字符: {'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-07-14 16:44:16,874 INFO [test_login_params_allure.py(test_login_params:53)] - 密码1位: {'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-07-14 16:44:17,147 INFO [test_login_params_allure.py(test_login_params:53)] - 密码100位: {'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-07-14 16:44:17,390 INFO [test_login_params_allure.py(test_login_params:53)] - 多参: {'success': True, 'code': 10000, 'message': '操作成功！', 'data': 'f85582d2-426f-4412-9a86-5522989f63fb'}
2026-07-14 16:44:17,655 INFO [test_login_params_allure.py(test_login_params:53)] - 少参-password: {'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-07-14 16:44:17,910 INFO [test_login_params_allure.py(test_login_params:53)] - 无参: {'success': False, 'code': 99999, 'message': '抱歉，系统繁忙，请稍后重试！', 'data': None}
